date,day,month,year,pm_2_5
2022-11-01,1,11,2022,11.739679536024685
2022-11-02,2,11,2022,17.39280247779275
2022-11-03,3,11,2022,17.957412653334277
2022-11-04,4,11,2022,15.542060198990844
2022-11-05,5,11,2022,9.273584262788436
2022-11-06,6,11,2022,6.172764279106544
2022-11-07,7,11,2022,5.708951639839053
2022-11-08,8,11,2022,5.457154127228043
2022-11-09,9,11,2022,8.234374314752138
2022-11-10,10,11,2022,13.647725727412537
2022-11-11,11,11,2022,10.765363336911612
2022-11-12,12,11,2022,9.443856847578424
2022-11-13,13,11,2022,3.4887771870130635
2022-11-14,14,11,2022,5.485269788137184
2022-11-15,15,11,2022,6.574911985459787
2022-11-16,16,11,2022,10.86327374121818
2022-11-17,17,11,2022,7.165287724273673
2022-11-18,18,11,2022,5.063532003153568
2022-11-19,19,11,2022,5.295115890511688
2022-11-20,20,11,2022,7.041648445357562
2022-11-21,21,11,2022,8.554155441522912
2022-11-22,22,11,2022,8.251176502098676
2022-11-23,23,11,2022,6.296526838033415
2022-11-24,24,11,2022,6.088203796151996
2022-11-25,25,11,2022,6.858842262495196
2022-11-26,26,11,2022,11.249997721669478
2022-11-27,27,11,2022,15.37459745785436
2022-11-28,28,11,2022,14.889426082282997
2022-11-29,29,11,2022,11.934824972768707
2022-11-30,30,11,2022,8.574985192313171
2022-12-01,1,12,2022,7.360592445893877
2022-12-02,2,12,2022,7.040658310513093
2022-12-03,3,12,2022,7.239028186692859
2022-12-04,4,12,2022,4.005131494034191
2022-12-05,5,12,2022,2.9383649178545
2022-12-06,6,12,2022,4.162198877430339
2022-12-07,7,12,2022,4.947073720260405
2022-12-08,8,12,2022,4.304171658059091
2022-12-09,9,12,2022,4.3826894851441525
2022-12-10,10,12,2022,10.27937388754716
2022-12-11,11,12,2022,8.952039791755784
2022-12-12,12,12,2022,8.405347716264476
2022-12-13,13,12,2022,9.9460774223593
2022-12-14,14,12,2022,14.312776666549109
2022-12-15,15,12,2022,13.85121397415704
